id,match_id,player_color,player_name,opponent_name,result,status,player_rating,opponent_rating,rating_difference,variant,speed,perf,clock_time_control,clock_increment,time_control_with_increment,source,division_middle,opening_eval,division_end,middlegame_eval,created_at,last_move_at,time_spent_playing,opening_eco,opening_name,normalized_opening_name,opening_ply,player_rating_diff,player_final_clock,player_avg_time_per_move,player_inaccuracy,player_mistake,player_blunder,player_accuracy,opponent_rating_diff,opponent_final_clock,opponent_avg_time_per_move,opponent_inaccuracy,opponent_mistake,opponent_blunder,opponent_accuracy,half_moves,full_moves,moves,clocks
12452,S8TGhJFw,white,Drac25,Khung999,loss,outoftime,1032,1049,-17,standard,blitz,blitz,300,0,5+0,lichess.org,27.0,4.46,63.0,,04/12/25 02:30,2025-12-04 05:39:34.604+00,573.949,B00,Nimzowitsch Defense: Declined Variation,Nimzowitsch Defense,3,-14,0,6.67,11.0,0.0,2.0,67.0,5,6268,5.39,9.0,3.0,2.0,66.0,90,45,e4 Nc6 Nf3 b6 d4 a5 c3 Ba6 d5 Bxf1 Rxf1 Na7 e5 d6 Bf4 f6 exf6 exf6 Nbd2 Qe7+ Be3 g5 Nd4 c5 Ne6 Bh6 f4 Nb5 a4 Nc7 f5 Nxe6 dxe6 g4 Bxh6 Nxh6 Ne4 O-O-O Qb3 d5 Ng3 c4 Qxb6 Rd6 Qc5+ Kd8 Qxa5+ Ke8 Qc5 Kf8 Kf2 Kg7 Qd4 Ng8 Kg1 h5 a5 Ra6 Ra3 Qa7 Rfa1 Qxd4+ cxd4 Ne7 b3 h4 Ne2 h3 g3 Nxf5 bxc4 dxc4 Kf2 Rxe6 Nf4 Re4 a6 Nxd4 a7 Nc2 a8=Q Rxa8 Rxa8 Nxa1 Rxa1 c3 Rc1 Rc4 Nd5 Kg6,"{30003,30003,29563,25251,29219,25019,28899,24731,28211,24139,28019,23683,25851,23515,24931,22179,24531,22043,23875,21923,23483,21227,23035,20779,22723,19659,21875,18603,21051,18171,18603,17747,18019,17523,17563,17371,15731,17219,15291,17011,14531,16211,14251,15755,12563,15019,12331,14291,11307,13547,10107,13323,8955,11187,8563,10979,5811,10819,5131,10563,4763,10323,4523,9971,4131,9803,3635,9603,3379,9283,3003,8587,2675,8435,2411,7619,2035,7379,1283,7187,832,7019,627,6915,391,6771,261,6467,31,6268,0}"
12453,C0HHmVOS,white,Drac25,gggguuibcfd,win,resign,1021,1009,12,standard,blitz,blitz,300,0,5+0,lichess.org,22.0,1.8,37.0,,04/12/25 02:26,2025-12-04 05:29:48.223+00,215.684,D00,Queen's Pawn Game: Accelerated London System,Queen's Pawn Game,3,11,16481,7.51,,,,,-97,23215,3.77,,,,,37,19,d4 d5 Bf4 e5 dxe5 Nc6 Nf3 Bf5 a3 f6 e3 Be7 Bb5 a6 Bxc6+ bxc6 exf6 Nxf6 Ne5 O-O Nxc6 Qd7 Ne5 Qe6 Nc3 Bd6 O-O Bxe5 Re1 Bxf4 exf4 Qb6 Nxd5 Nxd5 Qxd5+ Qe6 Rxe6,"{30003,30003,29403,29011,29171,28907,27939,28763,27507,28763,25963,28171,25603,27795,25419,27795,25155,27643,24883,27299,24339,26763,23123,26315,20211,26075,18859,25803,18211,24339,18003,23747,17075,23363,16915,23235,16481,23215}"
12454,4KaGxG8n,black,Drac25,Nikosalev,win,timeout,1006,1000,6,standard,blitz,blitz,300,0,5+0,lichess.org,18.0,0.44,,,04/12/25 02:22,2025-12-04 05:25:31.833+00,165.134,C50,Italian Game: Giuoco Pianissimo,Italian Game,7,15,20442,6.83,,,,,-6,20983,6.01,,,,,30,15,e4 e5 Nf3 Nc6 Bc4 Bc5 d3 h6 Bd2 Nd4 Nxd4 Bxd4 c3 Bc5 Be3 d6 Bxc5 dxc5 d4 cxd4 cxd4 exd4 O-O Qg5 Qxd4 c5 Bb5+ Kf8 Rd1 cxd4,"{30003,30003,29931,29627,29851,28179,29483,27955,29019,27739,28731,27563,28603,27283,28483,26907,28363,26763,28195,26283,28059,26043,27499,23731,26123,22739,24619,20971,24171,20442,20983}"
12455,YpN36uF9,white,Drac25,Zemaroth,win,resign,1001,966,35,standard,blitz,blitz,180,2,3+2,lichess.org,14.0,-0.33,31.0,,30/09/25 01:43,2025-09-30 04:46:06.666+00,156.299,B10,Caro-Kann Defense: Hillbilly Attack,Caro-Kann Defense,3,5,13121,2.44,0.0,1.0,0.0,92.0,-5,16247,0.88,3.0,0.0,1.0,70.0,41,21,e4 c6 Bc4 d5 exd5 cxd5 Bb5+ Bd7 Qe2 Bxb5 Qxb5+ Qd7 Qxd7+ Nxd7 Nf3 e5 d4 e4 Ne5 Nxe5 dxe5 f6 e6 O-O-O Nc3 Bb4 Bd2 Re8 Nxd5 Bxd2+ Kxd2 Rxe6 Ke3 f5 g3 g6 h4 Nf6 Nf4 h6 Nxe6,"{18003,18003,17987,18203,18043,18331,18091,18323,17363,18307,17411,18099,17443,18251,17323,18187,17211,18219,17299,18227,17395,18291,17187,17971,16291,17947,15755,17811,15459,17851,15307,17859,14491,17803,14059,17795,13867,17779,13411,16691,13121,16247}"
12456,P23TAQO7,black,Drac25,Zemaroth,loss,outoftime,1007,959,48,standard,blitz,blitz,180,2,3+2,lichess.org,19.0,5.79,,,30/09/25 01:35,2025-09-30 04:43:18.449+00,447.786,C50,Italian Game,Italian Game,5,-6,0,7.2,,,,,7,2190,6.33,,,,,51,26,e4 e5 Nf3 Nc6 Bc4 Bb4 O-O Nf6 d3 d5 exd5 Nxd5 Bd2 b5 Bxd5 Bxd2 Bxc6+ Bd7 Bxa8 Qxa8 Qxd2 Qd8 Re1 O-O Nxe5 Bf5 c4 f6 Nc6 Qd6 Nxa7 Qd4 Nxb5 Qc5 a4 Bd7 N1c3 Qf5 Nxc7 Qg6 Qe3 Bc6 f3 Qf7 N7d5 Bd7 b4 Qg6 Nf4 Qg5 g3,"{18003,18003,18139,18131,18099,17715,17779,17179,17635,15611,17451,15643,16755,12643,16643,12187,16499,11011,16083,10403,15939,10059,16035,9923,16011,8027,15307,7435,14483,6683,13651,6427,13163,5787,12795,4435,11547,3907,10859,3515,8387,2931,7571,1347,4795,961,3627,981,2315,597,2190,0}"
12457,Fhexec10,white,Drac25,gwelain,win,outoftime,1001,1039,-38,standard,blitz,blitz,180,2,3+2,lichess.org,27.0,0.37,41.0,,30/09/25 01:28,2025-09-30 04:35:04.589+00,406.307,B20,Sicilian Defense: Bowdler Attack,Sicilian Defense,3,6,6024,4.99,,,,,-6,0,7.5,,,,,49,25,e4 c5 Bc4 Nc6 Qh5 g6 Qxc5 d6 Qd5 e6 Qd3 Bg7 Nf3 Nf6 Qb3 O-O Nc3 Nd7 d3 Nd4 Nxd4 Bxd4 Ne2 Nc5 Qa3 Bg7 Be3 b6 O-O Ba6 Bxc5 Bxc4 dxc4 dxc5 Rad1 Qf6 c3 Rfd8 f3 Rxd1 Rxd1 Qe5 Qa4 f5 Ng3 fxe4 Nxe4 Qf4 Qd7,"{18003,18003,17883,18107,17571,17603,17547,15579,17531,15363,17139,14499,16715,14259,14891,13579,14803,12179,13059,12083,12507,12075,12363,9851,10923,7915,9035,7411,8851,5083,8571,5155,8051,4667,8027,3403,7995,3379,7803,3099,7859,2363,7515,1331,6419,1123,6403,355,6024,0}"
12458,Qf9JcmPH,white,Drac25,kvu1126,loss,outoftime,1006,1020,-14,standard,blitz,blitz,180,2,3+2,lichess.org,22.0,-3.4,42.0,,30/09/25 01:20,2025-09-30 04:27:56.638+00,461.027,B16,Caro-Kann Defense: Bronstein-Larsen Variation,Caro-Kann Defense,10,-5,0,6.21,,,,,12,2318,5.6,,,,,58,29,e4 c6 Nc3 d5 d4 dxe4 Nxe4 Nf6 Nxf6+ gxf6 Bc4 h5 Nf3 Be6 Bf4 Bxc4 b3 Ba6 c4 Nd7 a4 e5 dxe5 fxe5 Bg5 Be7 O-O Bxg5 Nxe5 Nxe5 Qxd8+ Rxd8 Rae1 f6 g3 Bd2 Re2 b5 Rd1 Bb4 f4 Rxd1+ Kf2 Bc5+ Kg2 Bd4 fxe5 fxe5 axb5 cxb5 c5 Rg1+ Kf3 b4 c6 Kd8 Ke4 Bxe2,"{18003,18003,17667,18115,17243,18083,17283,17755,14347,17955,13555,16867,12019,15075,9763,14883,8539,14659,8587,14395,7715,14403,7155,14603,7115,13763,4891,13571,4475,12371,4075,12571,4179,11851,4211,9803,4027,9227,3395,6955,2995,6779,2395,6843,2171,4683,2123,4451,1723,4371,1787,4155,1603,2467,1435,2267,858,2318,0}"
12459,20YPjcPo,black,Drac25,BertosaChess,loss,outoftime,1012,1030,-18,standard,blitz,blitz,180,2,3+2,lichess.org,15.0,-2.25,,,30/09/25 00:39,2025-09-30 03:43:56.98+00,263.201,C46,Three Knights Opening,Three Knights Opening,6,-6,0,10.59,,,,,5,11927,3.57,,,,,35,18,e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Nf6 Ng5 O-O Bxf7+ Rxf7 Nxf7 Kxf7 O-O d6 Qf3 h6 Qg3 Be6 f4 Nxe4 Qd3 Nc5 fxe5+ Ke8 Qg6+ Kd7 Qxg7+ Ne7 Bxh6 Kc6 Rf8,"{18003,18003,18091,18091,17715,18187,17515,18139,17219,17475,16811,16875,15627,16875,15651,16971,15755,14907,15731,14571,14179,12483,14235,12123,13459,10995,13307,10947,13363,7547,13339,6771,12563,6705,11927,0}"
12460,9c8ELLvX,white,Drac25,malektamimi,win,mate,1011,988,23,standard,blitz,blitz,180,2,3+2,lichess.org,19.0,3.01,,,30/09/25 00:35,2025-09-30 03:38:35.624+00,162.968,C20,King's Pawn Game: Wayward Queen Attack,King's Pawn Game,3,6,13752,3.54,,,,,-6,11691,5.74,,,,,25,13,e4 e5 Qh5 Nc6 Bc4 Nh6 c3 g6 Qf3 Na5 Bd3 Bc5 b4 Bxf2+ Qxf2 Nc6 Bc4 O-O d4 exd4 Bxh6 Re8 Qxf7+ Kh8 Qg7#,"{18003,18003,17987,17675,18059,17467,17475,16995,17067,16027,15507,14787,15347,13979,14899,13539,14411,12939,14243,12867,14291,11843,13899,11691,13752}"
12461,a8STNdWi,black,Drac25,rueds,loss,outoftime,1011,1047,-36,standard,blitz,blitz,180,2,3+2,lichess.org,22.0,-2.13,35.0,,30/09/25 00:31,2025-09-30 03:35:03.962+00,216.653,C64,Ruy Lopez: Classical Variation,Ruy Lopez,6,-5,0,10.0,,,,,5,16075,1.07,,,,,37,19,e4 e5 Nf3 Nc6 Bb5 Bc5 Bxc6 dxc6 O-O Nf6 d3 Bg4 h3 Bh5 Nbd2 O-O Re1 Ng4 Rf1 Ne3 Qe2 Nxf1 Qxf1 Bxf3 Nxf3 Qf6 Bg5 Qg6 Bh4 Qh6 Bg3 Bd6 Nxe5 Bxe5 Bxe5 Rac8 Qe2,"{18003,18003,18051,18091,17931,18051,17979,18027,18027,17651,18059,17603,17947,17531,17867,15923,17835,13979,17467,12579,16755,12379,16739,12251,16787,11315,16523,11123,16491,9547,16387,8971,16211,8963,16251,7236,16075,0}"
